user_id,gender,ans_correct_rate,math_correct_rate,spatial_correct_rate,memory_correct_rate,ans_correct,math_correct,math_total,spatial_correct,memory_correct,memory_wrong
RHJM,M,0.625,0.9166666667,0.8333333333,0.2222222222,40,22,24,5,2,7
AASS,M,0.5,0.9411764706,0,0.5555555556,32,16,17,0,5,4
JPJP,F,0.609375,0.85,0.3333333333,0.5555555556,39,17,20,2,5,4
QMQM,F,0.53125,0.625,0.1666666667,0.4444444444,34,5,8,1,4,5
ABCD,F,0.375,1,0.8333333333,0.7777777778,24,20,20,5,7,2
CTCT,F,0.671875,0.8235294118,0.6666666667,0.3333333333,43,14,17,4,3,6
JGBC,M,0.4375,0.652173913,0.1666666667,0.1111111111,28,15,23,1,1,8
ARWB,M,0.640625,1,0.8333333333,0.4444444444,41,18,18,5,4,5
BYFL,F,0.671875,0.8181818182,0.8333333333,0.2222222222,43,9,11,5,2,7
LQEG,F,0.671875,0.7368421053,0.6666666667,0.3333333333,43,14,19,4,3,6
KBMS,F,0.640625,0.9,0.8333333333,0.6666666667,41,18,20,5,6,3
NAAS,F,0.609375,0.8461538462,0.6666666667,0.5555555556,39,11,13,4,5,4
LWEW,M,0.53125,0.9333333333,0.8333333333,0.4444444444,34,14,15,5,4,5
FZHF,M,0.609375,0.9565217391,1,0.4444444444,39,22,23,6,4,5
YGYS,F,0.28125,1,1,0.4444444444,18,10,10,6,4,5
HLZH,F,0.15625,1,0.8333333333,0.1111111111,10,7,7,5,1,8
MCHC,M,0.609375,1,0.8333333333,0.4444444444,39,21,21,5,4,5
ADER,F,0.65625,1,0.8333333333,0.7777777778,42,22,22,5,7,2
YTDW,F,0.71875,0.8636363636,0.1666666667,0.5555555556,46,19,22,1,5,4
MGRG,M,0.65625,0.5882352941,0.6666666667,0.2222222222,42,10,17,4,2,7
AFHY,F,0.609375,0.7777777778,0.3333333333,0.2222222222,39,14,18,2,2,7
MRMR,M,0.625,0.8,0.8333333333,0.6666666667,40,20,25,5,6,3
FZHF,M,0.578125,0.8461538462,1,0.3333333333,37,22,26,6,3,6
YCBH,F,0.578125,0.8095238095,0.1666666667,0.4444444444,37,17,21,1,4,5
RSWS,M,0.640625,0.9473684211,0.8333333333,0.5555555556,41,18,19,5,5,4
MZMZ,F,0.625,0.6956521739,0.5,0.3333333333,40,16,23,3,3,6
WYNN,F,0.46875,0.75,0.8333333333,0.2222222222,30,12,16,5,2,7
YGRR,F,0.515625,0.9523809524,0.6666666667,0.7777777778,33,20,21,4,7,2
XJFB,F,0.609375,1,1,0.6666666667,39,21,21,6,6,3
CKSB,F,0.53125,0.9411764706,0,0.4444444444,34,16,17,0,4,5
NSBK,M,0.53125,0.7391304348,0.6666666667,0.4444444444,34,17,23,4,4,5
YLYT,F,0.53125,0.9375,0.8333333333,0.4444444444,34,15,16,5,4,5
MCWK,F,0.65625,0.8333333333,0.6666666667,0.2222222222,42,20,24,4,2,7
ZHIA,M,0.609375,0.875,0.6666666667,0.4444444444,39,14,16,4,4,5
LZHH,F,0.421875,1,0.8333333333,0.1111111111,27,21,21,5,1,8
ABCD,F,0.40625,0.75,0,0.3333333333,26,18,24,0,3,6
ASYX,F,0.171875,0.9444444444,0.6666666667,0.7777777778,11,17,18,4,7,2
GUGU,F,0.625,1,0.6666666667,0.6666666667,40,26,26,4,6,3
BDBH,M,0.3125,0.6666666667,0.5,0.1111111111,20,8,12,3,1,8
SHUO,F,0.5625,0.9583333333,0.8333333333,0.4444444444,36,23,24,5,4,5
YODO,M,0.46875,0.875,0.8333333333,0.3333333333,30,21,24,5,3,6
SFMC,F,0.9375,,,,60,,,,,
YXCP,F,0.875,,,,56,,,,,
AFAJ,F,0.9375,,,,60,,,,,
